id,name,supermarket,zip_code,price,url,category
25863720,FINDUS varitas de pescado caja 280 gr,dia.es,28020,3.29,https://www.dia.es/compra-online/congelados/pescado-y-marisco/p/291396,congelados|pescado_y_marisco
25857820,Torreznillos sabor jamón ibérico 125 g,carrefour.es,28020,3.15,https://www.carrefour.es/supermercado/torreznillos-sabor-jamon-iberico-125-g/R-prod500113/p,la_despensa|aperitivos|torreznos_y_cortezas
25867370,Crema de queso semicurado Président,mercadona.es,28020,2.0,https://tienda.mercadona.es/product/51060/crema-queso-semicurado-president-tarrina,charcuteria_y_quesos|queso_untable_y_fresco
25855509,Crema de guisantes Ametller Origen 485 ml,carrefour.es,28020,2.49,https://www.carrefour.es/supermercado/crema-de-guisantes-ametller-origen-485-ml/R-VC4AECOMM-602174/p,productos_frescos|platos_preparados|platos_de_verdura
25869950,Kit sushi,mercadona.es,28020,1.0,https://tienda.mercadona.es/product/83327/kit-sushi-contiene-palillos-salsa-soja-wasabi-paquete,marisco_y_pescado|sushi
25859357,Limpiamuebles en spray aloe vera Pronto 500 ml.,carrefour.es,28020,5.55,https://www.carrefour.es/supermercado/limpiamuebles-en-spray-aloe-vera-pronto-500-ml/R-708413053/p,limpieza_y_hogar|productos_para_toda_la_casa|limpia_muebles
25859523,Ambientador de varillas flor de jazmín Carrefour 45 ml.,carrefour.es,28020,2.49,https://www.carrefour.es/supermercado/ambientador-de-varillas-flor-de-jazmin-carrefour-45-ml/R-prod620021/p,limpieza_y_hogar|ambientadores|decorativos
25862327,CASA TARRADELLAS masa hojaldre rollo 260 gr,dia.es,28020,1.69,https://www.dia.es/compra-online/despensa/pastas-harinas-y-masas/masas-y-hojaldres/p/167559,despensa|pastas_harinas_y_masas|masas_y_hojaldres
25854873,Pechuga de pavo en lonchas El Pozo sin gluten 200 g.,carrefour.es,28020,2.75,https://www.carrefour.es/supermercado/pechuga-de-pavo-en-lonchas-el-pozo-sin-gluten-200-g/R-VC4AECOMM-710119/p,productos_frescos|charcuteria|fiambre_de_pavo_y_pollo
25860990,PASCUAL leche entera envase 1 lt PACK 6,dia.es,28020,7.74,https://www.dia.es/compra-online/despensa/lacteos-y-huevos/leche/p/73676P6,despensa|lacteos_y_huevos|leche
25867831,Tomate triturado Hacendado,mercadona.es,28020,0.95,https://tienda.mercadona.es/product/16043/tomate-triturado-hacendado-freir-bote,conservas_caldos_y_cremas|tomate
25860317,Kiwi bandeja 700 gr,dia.es,28020,1.59,https://www.dia.es/compra-online/frescos/frutas/frutas-tropicales/p/270541,frescos|frutas|frutas_tropicales
25855847,Sal marina fina Carrefour 250 g.,carrefour.es,28020,0.5,https://www.carrefour.es/supermercado/sal-marina-fina-carrefour-250-g/R-521005132/p,la_despensa|alimentacion|sales_y_bicarbonatos
25855959,Batido de cacao Cacaolat sin gluten botella 1 l.,carrefour.es,28020,2.55,https://www.carrefour.es/supermercado/batido-de-cacao-cacaolat-sin-gluten-botella-1-l/R-521034566/p,la_despensa|lacteos|batidos_y_horchatas
25866278,Pañales bebé talla 2 de 3-6 kg Deliplus,mercadona.es,28020,7.4,https://tienda.mercadona.es/product/47567/panales-bebe-talla-2-3-6-kg-deliplus-paquete,bebe|toallitas_y_panales
25863249,GREIP mosto tinto botella 1 lt,dia.es,28020,2.79,https://www.dia.es/compra-online/bebidas/zumos/p/60672,bebidas|zumos
25861483,BONKA café molido mezcla paquete 250 gr,dia.es,28020,3.29,https://www.dia.es/compra-online/despensa/desayunos-y-dulces/cafe/p/119915,despensa|desayunos_y_dulces|cafe
25863274,JUVER zumo de piña 100% free envase 1 lt,dia.es,28020,2.99,https://www.dia.es/compra-online/bebidas/zumos/p/252080,bebidas|zumos
25861859,NESTLE chocolate jungly con leche y galleta XXL tableta 235 gr,dia.es,28020,2.99,https://www.dia.es/compra-online/despensa/desayunos-y-dulces/chocolates-y-bombones/p/285985,despensa|desayunos_y_dulces|chocolates_y_bombones
25866161,Miel de naranjo Hacendado,mercadona.es,28020,3.85,https://tienda.mercadona.es/product/15448/miel-naranjo-hacendado-bote,azucar_caramelos_y_chocolate|mermelada_y_miel
25865026,GLASSEX limpiador multiusos pistola 750 ml,dia.es,28020,2.99,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/43932,cuidado_del_hogar|productos_de_limpieza|hogar
25862982,AQUARIUS bebida refrescante de limón botella 1.5 lt,dia.es,28020,1.95,https://www.dia.es/compra-online/bebidas/bebidas-isotonicas-y-energeticas/p/39737,bebidas|bebidas_isotonicas_y_energeticas
25867517,Filete de salmón rosado salvaje con piel Hacendado ultracongelado,mercadona.es,28020,4.18,https://tienda.mercadona.es/product/24350/filete-salmon-rosado-salvaje-con-piel-hacendado-ultracongelado-pieza,congelados|pescado
25870225,Pan de trigo espelta 100% rebanado,mercadona.es,28020,1.35,https://tienda.mercadona.es/product/83275.2/pan-trigo-espelta-100-rebanado,panaderia_y_pasteleria|pan_de_horno
25860706,DIA LACTEA queso rallado en polvo especial para pasta bolsa 150 gr,dia.es,28020,1.72,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/quesos/p/263635,frescos|charcuteria_y_quesos|quesos
25864608,DODOT pañales 11-16 kg talla 5 paquete 54 uds,dia.es,28020,18.99,https://www.dia.es/compra-online/bebe/panales/p/275242,bebe|panales
25860753,DIA MARI MARINERA palitos de surimi refrigeradas MSC paquete 300 gr,dia.es,28020,2.09,https://www.dia.es/compra-online/frescos/pescado-y-marisco/gulas-y-surimi/p/62403,frescos|pescado_y_marisco|gulas_y_surimi
25858655,Ginebra Beefeater 1 l.,carrefour.es,28020,20.99,https://www.carrefour.es/supermercado/ginebra-beefeater-1-l/R-521011782/p,bebidas|alcoholes|ginebra
25862165,BONDUELLE maíz dulce pack 3 latas 420 gr,dia.es,28020,3.29,https://www.dia.es/compra-online/despensa/conservas/conservas-vegetales/p/2596,despensa|conservas|conservas_vegetales
25858237,Refresco de lima-limón Sprite con gas zero botella 2 l.,carrefour.es,28020,1.54,https://www.carrefour.es/supermercado/refresco-de-lima-limon-sprite-con-gas-zero-botella-2-l/R-589802808/p,bebidas|refrescos|sabores_con_gas
25867190,Chorizo de Tarancón Bricio,mercadona.es,28020,3.4,https://tienda.mercadona.es/product/54105/chorizo-tarancon-bricio,charcuteria_y_quesos|embutido_curado
25869379,Limpia Salpicaderos Bosque Verde,mercadona.es,28020,1.5,https://tienda.mercadona.es/product/90539/limpia-salpicaderos-bosque-verde-spray,limpieza_y_hogar|limpieza_muebles_y_multiusos
25859093,Suavizante concentrado talco Carrefour 80 lavados.,carrefour.es,28020,1.69,https://www.carrefour.es/supermercado/suavizante-concentrado-talco-carrefour-80-lavados/R-prod580050/p,limpieza_y_hogar|cuidado_de_la_ropa|suavizantes
25863985,NUTRÍSSE tinte Castaño Oscuro Nº 3.0 caja 1 ud,dia.es,28020,5.99,https://www.dia.es/compra-online/cuidado-personal/bano-e-higiene-personal/cuidado-del-cabello/p/225774,cuidado_personal|bano_e_higiene_personal|cuidado_del_cabello
25865966,Fideos orientales sabor pollo Hacendado,mercadona.es,28020,1.0,https://tienda.mercadona.es/product/22453/fideos-orientales-sabor-pollo-hacendado-vaso,arroz_legumbres_y_pasta|pasta_y_fideos
25862889,BICENTURY batido dietético de chocolate caja 5 batidos,dia.es,28020,6.99,https://www.dia.es/compra-online/despensa/dieteticos/perdida-de-peso/p/203121,despensa|dieteticos|perdida_de_peso
25867935,Coloración permanente 6.15 marrón macadamia Deliplus,mercadona.es,28020,3.9,https://tienda.mercadona.es/product/73163/coloracion-permanente-615-marron-macadamia-deliplus-colorcor-caja,cuidado_del_cabello|coloracion_cabello
25861329,KELLOGG'S barritas con chocolate negro Special K caja 6 uds 129 gr,dia.es,28020,2.89,https://www.dia.es/compra-online/despensa/desayunos-y-dulces/cereales/p/58680,despensa|desayunos_y_dulces|cereales
25868204,Crema facial Anti-rojeces Sensitive Deliplus,mercadona.es,28020,7.0,https://tienda.mercadona.es/product/50335/crema-facial-anti-rojeces-sensitive-deliplus-pieles-sensibles-reactivas-bote,cuidado_facial_y_corporal|cuidado_e_higiene_facial
25863778,DIA PATATAS UNIDAS patatas bravas prefritas bolsa 750 gr,dia.es,28020,1.79,https://www.dia.es/compra-online/congelados/verduras-y-hortalizas/p/262686,congelados|verduras_y_hortalizas
25857685,Patatas fritas corte fino gourmet Lay's 150 g.,carrefour.es,28020,3.15,https://www.carrefour.es/supermercado/patatas-fritas-corte-fino-gourmet-lays-150-g/R-VC4AECOMM-468384/p,la_despensa|aperitivos|patatas_fritas
25864589,BONTE preservativos up natural sensitive caja 24 uds,dia.es,28020,5.2,https://www.dia.es/compra-online/cuidado-personal/salud-sexual/p/232471,cuidado_personal|salud_sexual
25859156,Toallitas captura colores Protect Iberia 15 ud.,carrefour.es,28020,3.49,https://www.carrefour.es/supermercado/toallitas-captura-colores-protect-iberia-15-ud/R-prod700485/p,limpieza_y_hogar|cuidado_de_la_ropa|toallitas_atrapacolores
25865866,Surtido de snacks Picoteo de maiz y patata Tosfrit,mercadona.es,28020,1.0,https://tienda.mercadona.es/product/22991/surtido-snacks-picoteo-maiz-patata-tosfrit-party-mix-paquete,aperitivos|patatas_fritas_y_snacks
25867736,Guisantes extra Hacendado,mercadona.es,28020,0.7,https://tienda.mercadona.es/product/16416/guisantes-extra-hacendado-bote,conservas_caldos_y_cremas|conservas_de_verdura_y_frutas
